month,revenue,fixed_costs,variable_costs,loan_emi,cash_reserve
2025-01,520000.00,180000.00,145000.00,35000.00,310000.00
2025-02,485000.00,180000.00,138000.00,35000.00,347000.00
2025-03,560000.00,180000.00,155000.00,35000.00,437000.00
2025-04,510000.00,182000.00,142000.00,35000.00,488000.00
2025-05,475000.00,182000.00,135000.00,35000.00,511000.00
2025-06,530000.00,182000.00,150000.00,35000.00,574000.00
2025-07,545000.00,185000.00,148000.00,35000.00,651000.00
2025-08,490000.00,185000.00,140000.00,35000.00,681000.00
2025-09,600000.00,185000.00,160000.00,35000.00,801000.00
2025-10,555000.00,185000.00,152000.00,35000.00,884000.00
2025-11,510000.00,188000.00,145000.00,35000.00,926000.00
2025-12,580000.00,188000.00,158000.00,35000.00,1025000.00
